date,description,amount,transaction_type,category,merchant
2026-08-01,Salary,50000,income,Salary,Company
2026-08-02,Zomato,450,expense,,Zomato
2026-08-03,Amazon,1299,expense,,Amazon
2026-08-04,Uber,300,expense,,Uber
2026-08-05,Netflix,649,expense,,Netflix
2026-08-06,Apollo Pharmacy,850,expense,,Apollo
2026-08-07,Swiggy,520,expense,,Swiggy
2026-08-08,Electricity Bill,2100,expense,,Electricity
2026-08-06,Uber,350,expense,,Uber
2026-08-07,Zomato,600,expense,,Zomato
2026-08-08,Amazon,1800,expense,,Amazon
2026-08-09,Netflix,649,expense,,Netflix
2026-08-10,Swiggy,480,expense,,Swiggy
2026-08-11,Uber,280,expense,,Uber
2026-08-12,Amazon,1500,expense,,Amazon
2026-08-13,Zomato,550,expense,,Zomato
2026-08-14,Electronics Store,25000,expense,,Electronics
2026-08-15,Uber,320,expense,,Uber
2026-06-05,Zomato,500,expense,Food,Zomato
2026-06-10,Amazon,1200,expense,Shopping,Amazon
2026-06-15,Uber,400,expense,Transport,Uber
2026-06-20,Netflix,600,expense,Entertainment,Netflix
2026-06-25,Swiggy,700,expense,Food,Swiggy
2026-07-03,Zomato,650,expense,Food,Zomato
2026-07-08,Amazon,1800,expense,Shopping,Amazon
2026-07-14,Uber,500,expense,Transport,Uber
2026-07-20,Netflix,650,expense,Entertainment,Netflix
2026-07-25,Swiggy,800,expense,Food,Swiggy
2026-08-02,Zomato,900,expense,Food,Zomato
2026-08-07,Amazon,2200,expense,Shopping,Amazon
2026-08-12,Uber,600,expense,Transport,Uber
2026-08-18,Netflix,650,expense,Entertainment,Netflix
2026-08-20,Swiggy,950,expense,Food,Swiggy
